X coordinate,Y coordinate,stepratio,photoncount,label
230,92,0.227201,155697.2765,0
,,1.427128,489793.9547,1
175,126,0.367967,12212.64265,0
,,0.293522,91357.73314,0
,,1.493292,603162.0414,1
,,1.539661,207595.9269,1
148,132,0.334599,20627.13714,0
,,1.81964,90556.82616,1
,,1.604725,120959.4645,1
202,116,0.213366,14474.21483,0
,,1.14601,107316.7079,1
,,1.645507,519522.5518,1
,,0.990339,138706.0545,0
197,116,0.188366,62728.54798,0
,,1.585636,143070.1419,1
,,1.63163,189878.6213,1
,,1.015179,127972.1287,1
209,103,1.983349,68959.42457,1
,,1.61431,32595.19889,1
,,1.851796,362723.6032,1
216,94,0.304412,43503.92839,0
,,1.554488,175450.2057,1
187,111,0.642438,83466.49586,0
,,1.223231,677351.2752,1
203,105,0.095245,17442.52975,0
,,1.941648,751724.597,1
,,1.624544,548721.9819,1
,,1.072782,301281.0837,1
247,110,1.397714,195684.0449,1
168,115,1.696007,157319.5216,1
,,1.757972,60928.86726,1
155,123,0.231396,30638.48144,0
,,2.063857,190156.8861,1
180,110,0.456189,10525.26684,0
,,0.230882,143998.7609,0
,,1.425144,590613.5922,1
180,102,0.970587,47662.90077,0
,,0.340363,121416.3749,0
,,1.559208,409416.493,1
,,1.336173,545221.5833,1
208,98,1.503344,294677.9852,1
126,150,0.099173,5627.159943,0
,,1.764033,20237.70659,1
,,1.514085,337424.3515,1
123,145,0.355052,40676.67872,0
,,1.651628,104428.9174,1
,,0.987139,22237.73357,0
113,140,0.505957,10535.49349,0
,,1.668032,93980.87938,1
,,1.811962,381206.4317,1
123,104,1.692671,16455.1191,1
,,0.256497,58127.45041,0
,,1.989867,122683.2089,1
,,1.509215,322169.1291,1
92,168,0.308731,7781.945664,0
,,0.852063,69074.36374,0
,,1.513564,98620.35598,1
,,2.27143,107631.3392,1
143,96,0.260544,12536.65478,0
,,0.412515,66873.11182,0
,,0.43098,94375.26907,0
182,84,0.480997,51281.27495,0
,,1.261402,734029.3433,1
,,1.081815,68643.31722,1
163,71,0.498311,143224.4724,0
,,1.448233,589835.9511,1
206,76,0.384942,29629.53756,0
,,1.474155,23883.8855,1
160,56,0.193993,3922.634899,0
,,-0.018763,12354.81918,0
,,1.030584,96411.97913,1
,,1.794734,901042.6933,1
134,82,1.988277,460227.0755,1
124,54,0.379591,59136.925,0
,,1.329359,486205.5647,1
164,48,0.454646,36331.1391,0
,,1.484997,323515.4328,1
,,1.521702,390616.9199,1
,,1.163311,76361.9841,1
150,36,0.0497,16317.14587,0
,,0.414331,47612.59785,0
,,1.630536,93724.74004,1
,,1.357759,140999.0729,1
195,50,0.599493,96572.19884,0
